keys,en,zh
SCHEDULE_SHIFT_START,Shift,当班
SCHEDULE_LUNCH,Lunch,午餐
SCHEDULE_FREE_PERIOD,Free period,自由活动
SCHEDULE_TRAINING_WINDOW,Training window,训练时段
SCHEDULE_DINNER,Dinner,晚餐
SCHEDULE_EVENING_MUSTER,Evening muster,晚间点名
SCHEDULE_LIGHTS_OUT,Lights out,熄灯
ZONE_BUNK_PODS,Bunk pods,宿舱区
ZONE_GALLEY,Galley,餐厅
ZONE_INFIRMARY,Infirmary,医务室
ZONE_TRAINING_BAY,Training bay,训练区
ZONE_MUSTER_DECK,Muster deck,集合甲板
ZONE_SECURITY_OFFICE,Security office,安保室
ZONE_SOLITARY,Solitary,禁闭室
ZONE_HANGAR,Hangar,机库
ZONE_MOON_POOL,Moon pool,月池
ZONE_WORKSHOP,Workshop,车间
ZONE_CORRIDOR,Corridor,走廊
ITEM_RATION,Ration tin,口粮罐头
ITEM_SCRAP_METAL,Scrap plate,废钢板
ITEM_WRENCH,Deck wrench,甲板扳手
ITEM_OXYGEN_BOTTLE,Oxygen bottle,氧气瓶
ITEM_TORCH_FUEL,Torch fuel,焊枪燃料
ITEM_CUTTING_TORCH,Cutting torch,切割枪
ITEM_PRY_BAR,Pry bar,撬棍
ITEM_NAV_MODULE,Nav module,导航模块
ITEM_DRIVE_HOUSING,Drive housing,推进器外壳
ITEM_DRIVE_IMPELLER,Drive impeller,推进器叶轮
ITEM_DRIVE_CORE,Drive core,推进器核心
ITEM_BLANK_DOCKET,Blank docket,空白单据
ITEM_FORGED_DOCKET,Forged rotation docket,伪造轮换单
ITEM_OFFICER_UNIFORM,Security uniform,安保制服
ITEM_KEYCARD,Maintenance keycard,维修钥匙卡
ITEM_REBREATHER,Patched rebreather,改装循环呼吸器
ITEM_DOOR_SHIM,Door shim,门禁垫片
ROUTE_SUBMERSIBLE,The submersible,深潜器
ROUTE_SUPPLY_SUB,The supply sub,补给潜艇
STAT_CONDITIONING,Conditioning,体能
STAT_TECHNICAL,Technical,技术
STAT_PRESSURE,Pressure,耐压
STATION_WORKBENCH,Workbench,工作台
STATION_TECHNICAL_TERMINAL,Technical terminal,技术终端
ROUTE_SUBMERSIBLE_SUMMARY,Rebuild the hangar's one-seat sub and cut your way out to it.,把机库里那台单座潜水器修好，再割开门出去。
ROUTE_SUPPLY_SUB_SUMMARY,"Walk onto the resupply boat in a uniform, holding paperwork that says you are owed a berth.",穿上制服，拿着写有你名字的舱位单据，直接走上补给艇。
